comment,comment_length
Lu kurang update berita lol. Dah basi . Dah dua tahunan pula kereta LRT di operasikan.,86
"Terima kasih pa Mul,  para arsitek dan enginer ...tetap terbaik ❤🇮🇩🇮🇩",69
"Min, ini bukan LRT Jakarta. Ini LRT Jabodebek. Tolong diperbaiki.",65
Wajar? Enak saja! Itu fatal dan tidak boleh dibiarkan! Bgmn pengawasan pelaksanaan?,83
"Jika jokowi bilang itu wajar,<br>Sampaikan ke dia KNTL lu",57
BUMN kalo gak rugi ya ngerugiin,31
"Telah dijelaskan bahwa jari2 lengkung jembatan sudah maksimal diwilayah itu, jika mau dilebarkan akan nabrak gedung2 yang ada disitu. Jembatan Lengkung Bentang Panjang (Long Span) LRT di Kuningan, Jakarta, itu memecahkan rekor dunia.",233
"Inilah konoha, pemimpin tertinggi yg katanya org lapangan komentar nya ngga senilai proyek 30 an T",98
Kok beda pas awal dibangga2in deh karna design nya 😂😂😂,54
lah dulu dibanggakan,20
bukan salah design..  ini salah komen..  bravo engineer² Indonesia..,68
PENGALAMAN GURU TERBAIK,23
Pertama kali ngerjain? Emang yg ngerjain orang Indonesia? Kita cuma bayarin doang.. technologi kan dr China atau jepang..pasti manajer nya orang sana lah...org indo paling jadi buruh kasar😂,189
Itu lah standard jurutera Indonesia..,37
Koruptor menang lagi... 😅,25
Slow. Noisy. Rough. Failure to be honest.,41
LRT Jabodebek bukan LRT Jakarta,31
Up lagi kerjaannya Mulyono-ni 😂,31
Mudah aja kok 😒<br>Pake aja *Konsep Gathoek: Konsep Mengikuti Bentuk*...Bilang ke semua orang bgmn d u n i a bhw *Kereta Sengaja Harus Mengurangi Kecepatan Agar Menikmati Pemandangan Wilayah Gatot Soebroto - Kuningan...Gituuu...<br><br>Ttd <br>Mulyono,251
"Seharus pakai konsultan berpengaman aja asing Dan kontraktor asing yg sulit2 klo tidak mampu ,, Daripada maksa bangun yg pertama x sulit",136
"memang salah design ,x akan engineer x tahu risiko kelajuan selekoh keretapi...patut boleh dluruskan /dibesarkan...bukan dah siap baru tahu",139
jokontol,8
Kalo kerja di swasta udah pada di pecat kalo bener salah design,63
TOLOL,5
Sudah diaudit BPK atau auditor independen belum? Jangan-jangan banyak markup disitu...,86
"Kesalahan ato error harusnya tu harus kecil, anggap lah dari 80km/jam krn tikungan jauh turun jadi 60km/hr atau 50km/h lah...🫰😎<br>Dari 80km/h jadi 20km/h berarti 75% error nya jancoook ‼️‼️😭😭😭🤣😭",195
"Klo ada proyek pemerintah di buat, cepat, mudah dan sekali jadi, itu ga mungkin.proyek pemerintah walaupun sudah selesai dan beroperasi harus ada perbaikan, perubahan yg intinya bisa jadi ATM abadi",197
Telah selesai . . Dan berfungsi <br>Dimanapun kendaraan di setiap belokan akan mengurangi kecepatan .<br>LRT  sarana layanan umum pelan tapi anti macet . .  <br>Dikenal anti rugi waktu dan BBM,192
dulu di bangga2in beeeh ampe dapet penghargaan dari mulyono😂😂,61
proyek kegedean korupsi ny sih,30
Joko lagi joko lagi.. 😮,23
"Tanya Jokowi maka cuma ada 2 intisari jawaban, biasanya bohong dan tipuan karena karakter penipu begitu, yang kedua pasti kebodohan kareba kagak punya isi di otaknya Itulah presiden kita,",187
"G wajar,...",11
Hidup jokowi😅,13
Kalo salah ya ga bisa dipakai dong. Kurang sempurna iya. Melambat sebentar yo ndak opo² toh sambil melihat keramaian di bawahnya.,129
"Wah, kompor nih akun",20
80% karena ambisi untuk dinilai &quot;warisan presiden sebelumnya&quot;,71
Tidak ada salah disain di sini! Itulah yang bisa dicapai dengan lahan yang tersedia. Apa anda pernah melihat ada jalan KA dengan belokan setajam itu ? LRT dengan banyak stasiun juga tidak selalu bisa mencapai kecepatan maksimum.,228
Saran sy dibongkar dan bangun yg baru aja...<br>Itu menyangkut keselamatan orang banyak...,90
"Spt Biasa<br>Design Sipil statis belum mempertimbangkan kebutuhan mechanical engineering, yg butuh faktor kecepatan LRT selain faktor beban <br><br>Tidak Ingat?<br>Kelupaan?",173
"Kalau ini kesalahan, ayo Indonesia 🇮🇩  pasti bisa lebih baik lagi.... gitu dong",79
"The King of Ngeles mulu. Proyek prestisius persiapan pembangunannya ya harus mateng, supaya hasilnya sukses. Pake alasan segala NAMANYA JUGA BARU PERTAMA. Emangnya yg ngerjain proyek ngambil dari mahasiswa tingkat pertama yg masih belajar? Proyek prestisius modal gede ya harusnya diserahkan ke ahli teknik sipil yg udah mumpuni lah!",333
Pasang pagar metal dengan roda anti guling. Sebagai penyangga.. 😊,65
Kata nya terlebih maju dari segala negara di muka bumi ini ya<br>Kok Kerna terlebih maju makanya salah kiranya<br>Biasa kan Kerna terlebih maju<br>😂😂😂😂😂😂😂😂,155
Korupsi lagi.. 😊,16
Ini konten cari duit dari youtube,33
Wakil BUMN sok tau... Pansos smua,33
Ya intinya orang bumn mau bongkar lagi jembatan.... Dan gelebungin anggaran nya,79
"Bukan salah disain tapi salah minta. Mintanya belokan tajam, tanpa penopang di tengah belokan. Arsitek luar tidak sanggup membuat, yang bisa malah arsitek Indonesia. Lha kok diframing salah disain. Tolol banget....<br><br>Bayangin kalo dulu mintanya belokan tidak tajam, dijamin harus bongkar gedung tinggi di gatot subroto.",324
Arkitek nya gimana,18
Disain terpaksa karena melewati jalur yang sulit di rubah linglungannya. Setiap belokan kereta pasti perlambat kecepatan sepert MRT antara st. Fatmawati dan Cilandak yang bertikungan. Yang penting jangan sampe roboh!,216
Waduh kontraktor nya gimana,27
Jadi pelajaran berharga untuk proyek LRT selanjutnya,52
"Widih anggaran proyek nya triliunan,,,,,",40
Lucu ya 😂,9
"Karena lahan untuk penempatan tiang penyangganya terbatas posisinya, jika dipaksakan harus mampu kecepatan 80 km/jam harus ada bangunan ya dibongkar. Mungkin itu alasannya, SANGAT TEKNIS. 🙏",189
Ini krn tdk pakai konsultan yg profesional  dan bumn yg bgn kuasai terlalu byk projek sekaligus hingga konsentrasi buyar  blm lg masalah kkn,140
Hahahaha Indonesia terkantoi 😅,30
pakabar toll MBZ,16
😂,1
